M,O2,N2,H2O,t,temperature,pressure,w_ap
8.156870808153907e16,1.7088644343082434e16,6.3697004140873864e16,2.370475036112181e16,-180.0,1.0013822265430736,0.6021268700836768,false
8.198410404536597e16,1.717566979750417e16,6.402138684902629e16,2.3761386519857436e16,-165.0,1.006201718159915,0.605185045111382,false
8.211808919581912e16,1.7203739686524104e16,6.412601585301515e16,2.3952042377582e16,-150.0,1.0081534486885646,0.6047991044107701,false
8.169991603857046e16,1.7116132410080512e16,6.379946443451968e16,2.386627826218422e16,-135.0,1.0016918833720692,0.6149947473969554,false
8.182133597939088e16,1.7141569887682388e16,6.3894281266306344e16,2.398829940262557e16,-120.0,1.001448644846389,0.6201975944646783,false
8.196890568243802e16,1.7172485740470764e16,6.400951844741585e16,2.4006435229544772e16,-105.0,1.0031626953084065,0.61221430443661,false
8.193275353528706e16,1.7164911865642638e16,6.398128723570566e16,2.401130739566678e16,-90.0,1.0024053802618849,0.6031927438502785,false
8.197050577774962e16,1.7172820960438544e16,6.401076796184468e16,2.4041938838012236e16,-75.0,1.0027907625014811,0.6043030157391744,false
8.200116439585397e16,1.7179243940931406e16,6.403470927672237e16,2.416038201961646e16,-60.0,1.0029435827663662,0.6006887432707011,false
8.42699251283324e16,1.7654549314385638e16,6.5806384532714776e16,2.517121050351951e16,-45.0,1.0325705109941798,0.6094120393525757,false
8.219195950483976e16,1.721921551626393e16,6.418370117732937e16,2.4621493415657108e16,-30.0,1.0024646585324204,0.6023573045740338,false
8.218645766687094e16,1.7218062881209462e16,6.417940479205952e16,2.455713950251669e16,-15.0,1.0023844543173934,0.6005462453125914,false
8.216393435532648e16,1.7213344247440896e16,6.416181633807445e16,2.4659850907264284e16,0.0,1.0027516760620216,0.6051341407816745,true
8.236578802517733e16,1.725563259127465e16,6.431944386886098e16,2.459494702808967e16,15.0,1.0028440767124536,0.6024615445065681,true
8.229490321719414e16,1.7240782224002172e16,6.426408992230691e16,2.4537617615337308e16,30.0,1.0010406907721896,0.6017164924082048,true
8.231048225252986e16,1.7244046031905004e16,6.427625559100057e16,2.453815464759679e16,45.0,1.0010504158538414,0.6007900437375627,true
8.228618950763824e16,1.723895670185021e16,6.42572853865147e16,2.4414685377064e16,60.0,1.0006072064117348,0.6016801382495907,true
8.225531138215435e16,1.7232487734561336e16,6.423317265832434e16,2.4440193523717776e16,75.0,1.0004906973359025,0.6002635709059844,true
8.219434088426632e16,1.7219714415253794e16,6.4185560796523576e16,2.4470591611130404e16,90.0,1.0003007700587154,0.6002218470735279,true
8.22132689301274e16,1.7223679840861688e16,6.420034170753648e16,2.4468560819697304e16,105.0,1.0010490128322311,0.6002959008183604,true
8.220878104644714e16,1.7222739629230674e16,6.419683711917057e16,2.4354911236815936e16,120.0,1.001194567403236,0.605502071880179,true
8.21636546298404e16,1.7213285644951564e16,6.416159790044237e16,2.43079569734355e16,135.0,1.0006286725477112,0.60170851214107,true
8.20976384845595e16,1.7199455262515216e16,6.411004589259252e16,2.42247793911194e16,150.0,1.0002752628369174,0.602928033277564,true
8.21246402569133e16,1.7205112133823334e16,6.41311315766236e16,2.417449052361333e16,165.0,1.0005765129674604,0.601028051842112,true
8.230816893187389e16,1.7243561391227578e16,6.427444911890032e16,2.425571166482267e16,180.0,1.0008066908546454,0.6449642055702908,true
8.214096775300664e16,1.720853274425489e16,6.414388171832289e16,2.418281343994975e16,195.0,1.0004266817553598,0.6098321027201795,true
8.207534330888266e16,1.7194784423210916e16,6.409263558990647e16,2.4070157434352412e16,210.0,1.0006365789927885,0.6019362191922055,true
8.207497364748757e16,1.7194706979148644e16,6.409234692132305e16,2.386534896507061e16,225.0,1.0009811416518155,0.6026868264169865,true
8.2036657593761e16,1.7186679765892928e16,6.406242591496796e16,2.366565152333841e16,240.0,1.0010732380625524,0.6024907104510202,true
8.1947316515003e16,1.716796280989313e16,6.399265946656586e16,2.327554701330389e16,255.0,1.0005102568352109,0.600450351169625,true
8.200151740085651e16,1.7179317895479438e16,6.4034984938328856e16,2.2763447768588656e16,270.0,1.0010645229437003,0.6046708286440621,true
8.191000571186446e16,1.7160146196635604e16,6.396352346039496e16,2.2301351749858036e16,285.0,1.0004078132237129,0.6059822558309962,true
8.190829508690222e16,1.7159787820706016e16,6.396218763336195e16,2.1850946733254556e16,300.0,1.000830341907856,0.6008585202012008,true
8.185809928001787e16,1.7149271799163744e16,6.392298972776596e16,2.149970739478622e16,315.0,1.0007112077659142,0.6007696374679494,true
8.178009256633552e16,1.713292939264729e16,6.386207428505141e16,2.123571950833891e16,330.0,1.000396072325185,0.6008188300197347,true
8.1772586484362e16,1.7131356868473838e16,6.385621278563829e16,2.0883665131553676e16,345.0,1.0005499361758627,0.600669996291178,true
8.178130566273696e16,1.7133183536343392e16,6.38630215920313e16,2.058311257905389e16,360.0,1.0006845908861361,0.603379175529925,true
8.173379649184757e16,1.7123230365042064e16,6.382592168048377e16,2.015095269847994e16,375.0,1.0002901202122598,0.605889540123826,true
8.175449350713555e16,1.7127566389744898e16,6.384208397972215e16,1.971965223225149e16,390.0,1.0005787552690977,0.6086715654431295,true
8.178455207071594e16,1.7133863658814988e16,6.386555671202208e16,1.932130683147463e16,405.0,1.000554035036946,0.6013880012852667,true
8.176954383245013e16,1.7130719432898302e16,6.385383677876031e16,1.8913084938101716e16,420.0,1.0005426055985709,0.6009628562205854,true
8.182458129240366e16,1.7142249780758566e16,6.3896815531238024e16,1.8544046778870572e16,435.0,1.0009143697292926,0.6016689335656106,true
8.187343244187557e16,1.715248409657293e16,6.393496339386063e16,1.8300171360941536e16,450.0,1.0015869124662806,0.6018734451240301,true
8.182311093667629e16,1.7141941741233682e16,6.389566733045052e16,1.7987827729289106e16,465.0,1.000774506561678,0.6011936628281437,true
8.196680366629677e16,1.7172045368089172e16,6.400787698301115e16,1.7665033764454322e16,480.0,1.0020717864347541,0.6034271245409093,true
8.198549793839166e16,1.7175961818093052e16,6.4022475340090056e16,1.735515420707617e16,495.0,1.0007262094684557,0.6110458891537404,true
8.253840801139354e16,1.7291796478386946e16,6.445424281609722e16,1.7040915838448232e16,510.0,1.006711997400301,0.6024057623279904,true
8.234395313848242e16,1.7251058182512066e16,6.430239300584092e16,1.6713793625127902e16,525.0,1.0024975303595658,0.6069080064882783,true
8.244969330626722e16,1.7273210747662982e16,6.438496550286407e16,1.641210173637429e16,540.0,1.0024092637664987,0.6049901620107859,true
8.251151101412418e16,1.7286161557459014e16,6.4433238950929576e16,1.6078977197534018e16,555.0,1.0013381807908919,0.6031025589642397,true
8.291281767037456e16,1.737023530194347e16,6.4746619318795496e16,1.5786611356760008e16,570.0,1.004368618505716,0.6033119852201608,true
8.271521462096325e16,1.73288374630918e16,6.45923110975102e16,1.5544982071177328e16,585.0,1.0005836998095632,0.6033264427359116,true
8.27823760348838e16,1.7342907779308158e16,6.464475744564077e16,1.5260439787222126e16,600.0,1.0005839056818837,0.6046561842266999,true
